denomination;categorie;avant_montant;conv_montant;remu_montant
AIR LIQUIDE SANTE FRANCE;Etablissement de santé;;100;
AIR LIQUIDE SANTE FRANCE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;19281;
AIR LIQUIDE SANTE FRANCE;Presse et média;;3601;
AIXIAL;Académies, Fondation, sociétés savantes, organismes de conseils;;0;
AIXIAL;Association professionnel de santé;;0;
AIXIAL;Etablissement de santé;;0;
AKCEA THERAPEUTICS FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;;0;
AKCEA THERAPEUTICS FRANCE;Presse et média;;0;
ALAIR & AVD;Académies, Fondation, sociétés savantes, organismes de conseils;;301680;
ALAIR & AVD;Association d'étudiants;;300;
ALAIR & AVD;Association usager de santé;;1250;
Albireo AB;Etablissement de santé;;0;5896
Albireo AB;Professionnel de santé;;0;
Alcimed Inc;Professionnel de santé;;0;
Alcimed SARL;Professionnel de santé;;100;
Alcura France;Etablissement de santé;;2805;
Alcura France;Professionnel de santé;;8870;
ALCYON FRANCE;Presse et média;;19991;25394
Alexion Pharma France;Académies, Fondation, sociétés savantes, organismes de conseils;;0;116016
Alexion Pharma France;Association d'étudiants;;0;
Alexion Pharma France;Association professionnel de santé;;0;73120
Alexion Pharma France;Association usager de santé;;0;
Alexion Pharma France;Etablissement de santé;;0;10184
Alexion Pharma France;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;38741
Alexion Pharma France;Presse et média;;0;25332
ALFASIGMA FRANCE;Association professionnel de santé;;201212;173470
ALK-Abelló;Editeur de logiciel;;;128369
ALK-Abelló;Etablissement de santé;;0;7694
ALK-Abelló;Presse et média;;0;225217
All Global;Professionnel de santé;;0;
ALLIANCE PHARMA FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;;2952;18000
ALLIANCE PHARMA FRANCE;Association professionnel de santé;;11664;5580
ALLIANCE PHARMA FRANCE;Editeur de logiciel;;0;
ALLIANCE PHARMA FRANCE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;15069;2722
ALLIANCE PHARMA FRANCE;Presse et média;;84308;8706
ALMIRALL SAS;Professionnel de santé;;0;
Alnylam France SAS;Association d'étudiants;;15000;
Alnylam France SAS;Etablissement de santé;;0;4200
Alnylam France SAS;Presse et média;;0;13800
Alnylam Pharmaceuticals International;Association usager de santé;;20000;20000
Alnylam Pharmaceuticals International;Etablissement de santé;;0;1026204
AMICUS THERAPEUTICS INC.;Académies, Fondation, sociétés savantes, organismes de conseils;;0;4062
AMICUS THERAPEUTICS SAS;Association professionnel de santé;;31600;33100
AMICUS THERAPEUTICS SAS;Editeur de logiciel;;9600;4954
AMICUS THERAPEUTICS SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;10056;3612
AMICUS THERAPEUTICS SAS;Presse et média;;41400;25982
AMO FRANCE SAS;Association professionnel de santé;;13700;
AMO FRANCE SAS;Presse et média;;13098;
AMOMED PHARMA;Association professionnel de santé;;10800;
AMRING SARL;Académies, Fondation, sociétés savantes, organismes de conseils;;4988;362652
AMRING SARL;Professionnel de santé;;10050;10050
AngioDynamics, Inc.;Professionnel de santé;;0;
Anteis SA;Académies, Fondation, sociétés savantes, organismes de conseils;;;1041547
Applied Medical France;Association d'étudiants;;500;
Applied Medical France;Association professionnel de santé;;42688;
Applied Medical France;Professionnel de santé;;1000;
ARAIR Assistance S.A.;Association professionnel de santé;;0;
arard;Professionnel de santé;;0;
ARROW GENERIQUES SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;0;18516076
ARROW GENERIQUES SAS;Association professionnel de santé;;0;20796
ARROW GENERIQUES SAS;Presse et média;;;4900277
ASAHI INTECC CO., LTD.;Académies, Fondation, sociétés savantes, organismes de conseils;;128000;
ASAHI INTECC CO., LTD.;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;55000;
Ascensia Diabetes Care France;Association professionnel de santé;;3450;
Ascensia Diabetes Care France;Etablissement de santé;;1600;
Ascension Orthopedics, Inc.;Professionnel de santé;;;85456
ASDIA;Association professionnel de santé;;900;59100
ASDIA;Association usager de santé;;0;2200
ASDIA;Etablissement de santé;;0;
ASIT BIOTECH;Etablissement de santé;;0;1000
ASIT BIOTECH;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;
ASIT BIOTECH;Professionnel de santé;;0;
ASPEN FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;;1211756;1113926
ASPEN FRANCE;Editeur de logiciel;;8662;16202
ASPEN FRANCE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;265931;261418
ASPIDE MEDICAL;Professionnel de santé;;;6400
Association pour le Développement de l’Enseignement et des Recherches auprès des universités des centres de recherches et des entreprises d’Aquitaine (ADERA);Association professionnel de santé;;0;1950
ASTELLAS PHARMA;Académies, Fondation, sociétés savantes, organismes de conseils;;0;840
ASTELLAS PHARMA;Presse et média;;0;421227
ASTELLAS PHARMA Ltd;Association professionnel de santé;;98000;
ASTEN SANTE;Professionnel de santé;;15000;
ASTON MEDICAL Anciennement SOCIETE DE GENIE MEDICAL - S.G.M.;Académies, Fondation, sociétés savantes, organismes de conseils;;;141976
ASTRAZENECA;Académies, Fondation, sociétés savantes, organismes de conseils;;12183398;5978882
ASTRAZENECA;Association usager de santé;;155806;45650
ASTRAZENECA;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;64199;7182
ASTRAZENECA;Presse et média;;1565575;836152
Atlantic Therapeutics;Association professionnel de santé;;;2800
Atlantic Therapeutics;Presse et média;;493008;489452
AUDEVARD;Académies, Fondation, sociétés savantes, organismes de conseils;;0;246686
AUDEVARD;Association professionnel de santé;;0;30924
AUDEVARD;Etablissement de santé;;0;1650
AUDEVARD;Presse et média;;0;25713
AUDEVARD;Vétérinaire Personne Morale;;0;15972
Avadel Research;Etablissement de santé;;;4374
Avadel Research;Professionnel de santé;;;3200
AX'PERF MEDICAL;Etablissement de santé;;1200;
AXAIR SANTE;Association professionnel de santé;;0;
AXAIR SANTE;Etudiant;;190;
AXAIR SANTE;Professionnel de santé;;1940;
Axess Research;Professionnel de santé;;0;
AXIENCE;Académies, Fondation, sociétés savantes, organismes de conseils;;0;68471
AXIENCE;Presse et média;;0;199024
AZANTA FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;;26386;18444
AZANTA FRANCE;Association professionnel de santé;;16280;20870
B.BRAUN MEDICAL SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;0;330472
B.BRAUN MEDICAL SAS;Association usager de santé;;0;23375
B.BRAUN MEDICAL SAS;Editeur de logiciel;;0;300
B.BRAUN MEDICAL SAS;Etudiant;;;300
B.BRAUN MEDICAL SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;22897
B.BRAUN MEDICAL SAS;Presse et média;;0;24310
B.BRAUN MEDICAL SAS;Vétérinaire;;0;400
B3TSI;Vétérinaire;;0;2280
BALT EXTRUSION SAS;Etablissement de santé;;149545;60192
BALT EXTRUSION SAS;Professionnel de santé;;56200;37925
BALT INTERNATIONAL;Etablissement de santé;;0;
BARD FRANCE SAS;Etablissement de santé;;0;
BARD FRANCE SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;1200
Baxter SAS;Association professionnel de santé;;0;20455
Bayer HealthCare SAS;Association d'étudiants;;5000;
Bayer HealthCare SAS;Etablissement de santé;;699389;2621015
Bayer HealthCare SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;5458
Bayer HealthCare SAS;Presse et média;;4000729;3823427
Bayer HealthCare SAS;Vétérinaire Personne Morale;;1808;
BECKMAN COULTER FRANCE;Association professionnel de santé;;0;
Becton Dickinson France SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;118351;
Beiersdorf s.a.s;Association professionnel de santé;;12504;
BIO-RAD;Académies, Fondation, sociétés savantes, organismes de conseils;;516367;668594
BIO-RAD;Etablissement de santé;;56938;72309
BIO-RAD;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;7053;13881
BIO-RAD;Presse et média;;9868;16770
BIO-RAD AbD Serotec Ltd;Association professionnel de santé;;3024;
BIO-RAD Europe GmbH;Académies, Fondation, sociétés savantes, organismes de conseils;;7356;15406
BIO-RAD Innovations;Académies, Fondation, sociétés savantes, organismes de conseils;;0;
BIO-RAD Laboratories Ges.m.b.H;Académies, Fondation, sociétés savantes, organismes de conseils;;1464;1834
BIO-RAD Laboratories Inc.;Etablissement de santé;;0;23040
BIO-RAD Laboratories S.r.l.;Académies, Fondation, sociétés savantes, organismes de conseils;;370;1110
BIO-RAD Laboratories, S.A.;Académies, Fondation, sociétés savantes, organismes de conseils;;;740
BIO-RAD Medical Diagnostics GmbH;Académies, Fondation, sociétés savantes, organismes de conseils;;4560;
BIO-RAD Medical Diagnostics GmbH;Etablissement de santé;;105;4275
BIO-RAD SERVICES FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;;145860;91545
BIO-RAD SERVICES FRANCE;Association professionnel de santé;;;1000
BIO-RAD SERVICES FRANCE;Presse et média;;5200;6240
BIOCODEX;Association d'étudiants;;2500;
BIOCODEX;Association professionnel de santé;;1740;
BIOCODEX;Editeur de logiciel;;72000;
BIOCODEX;Etablissement de santé;;0;
BIOCODEX;Presse et média;;315834;
Biocompatibles UK Ltd;Professionnel de santé;;;5029
BioCryst Pharmaceuticals Inc.;Etablissement de santé;;;57045
BIOGARAN;Editeur de logiciel;;23834;176188
BIOGARAN;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;1800;
BIOGEN FRANCE SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;0;33127
BIOGEN FRANCE SAS;Association usager de santé;;0;
BIOGEN FRANCE SAS;Etablissement de santé;;0;
BIOGEN FRANCE SAS;Presse et média;;0;
Biogen Idec Research Limited;Académies, Fondation, sociétés savantes, organismes de conseils;;;33127
Biogen Idec Research Limited;Etablissement de santé;;;245348
Biogen Idec Research Limited;Professionnel de santé;;0;
Biologische Heilmittel Heel GmbH;Professionnel de santé;;0;
BioMarin France SAS;Association professionnel de santé;;4400;
BioMarin France SAS;Association usager de santé;;15000;
BioMarin France SAS;Etablissement de santé;;1300;
BioMarin France SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;
BioMarin Pharmaceutical Inc.;Etablissement de santé;;0;1477
bioMérieux;Presse et média;;3500;4200
BIOPROJET PHARMA;Académies, Fondation, sociétés savantes, organismes de conseils;;0;65623
BIOPROJET PHARMA;Association professionnel de santé;;0;5950
Biosensors Europe SA;Association professionnel de santé;;9600;127350
Biosensors Europe SA;Etablissement de santé;;95565;109450
Biosensors France SAS;Association professionnel de santé;;460170;41246
Biosensors France SAS;Etablissement de santé;;234300;4240
Biosensors France SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;176261;
BIOSERENITY;Association d'étudiants;;0;
BIOSERENITY;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;
Biosphere Medical, Inc.;Etablissement de santé;;;25049
Biosphere Medical, S.A.;Académies, Fondation, sociétés savantes, organismes de conseils;;327074;428844
Biosphere Medical, S.A.;Presse et média;;;224
Biosphere Medical, S.A.;Professionnel de santé;;10000;
BIOTECH DENTAL;Académies, Fondation, sociétés savantes, organismes de conseils;;0;
BIOTRONIK AG;Association professionnel de santé;;;62000
BIOTRONIK FRANCE SAS;Etablissement de santé;;0;184936
BIOTRONIK FRANCE SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;;5900
BIOTRONIK SE & Co. KG;Association professionnel de santé;;0;3935
BIOTRONIK SE & Co. KG;Etablissement de santé;;0;110958
Bisico;Professionnel de santé;;13949;
Boehringer Ingelheim B.V.;Professionnel de santé;;0;1000
BOEHRINGER INGELHEIM FRANCE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;15173;13773
BOEHRINGER INGELHEIM FRANCE;Presse et média;;526665;1305481
Boehringer Ingelheim Pharma GmbH & Co.KG;Académies, Fondation, sociétés savantes, organismes de conseils;;49972;49972
Boehringer Ingelheim Pharma GmbH & Co.KG;Association professionnel de santé;;595000;1356600
Boehringer Ingelheim RCV GmbH & Co KG;Etablissement de santé;;;64259
BOIRON;Association d'étudiants;;0;600
BOIRON;Etablissement de santé;;0;750
Bone Therapeutics;Professionnel de santé;;1500;
BRACCO IMAGING FRANCE;Association professionnel de santé;;3000;20200
BRACCO IMAGING FRANCE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;5000;11982
BRACCO IMAGING FRANCE;Presse et média;;0;25167
BRACCO SUISSE SA;Académies, Fondation, sociétés savantes, organismes de conseils;;;1000
BRAINEVER;Etablissement de santé;;0;18600
BRISTOL-MYERS SQUIBB;Groupement sanitaire;;173260;617176
BRISTOL-MYERS SQUIBB;Presse et média;;991725;773784
Bristol-Myers Squibb AB;Professionnel de santé;;1625;1625
Bristol-Myers Squibb Australia Pty Limited;Professionnel de santé;;;5000
Bristol-Myers Squibb Brazil;Professionnel de santé;;6925;8414
BRISTOL-MYERS SQUIBB COMPANY;Association professionnel de santé;;600;
BRISTOL-MYERS SQUIBB COMPANY;Etablissement de santé;;369655;504538
BRISTOL-MYERS SQUIBB COMPANY;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;25512;25529
Bristol-Myers Squibb Israel;Professionnel de santé;;2375;2563
Bristol-Myers Squibb K.K;Etablissement de santé;;1100;1382
Bristol-Myers Squibb Mexico;Professionnel de santé;;;6148
Bristol-Myers Squibb Pharma Hong Kong Limited;Professionnel de santé;;5250;5250
Bristol-Myers Squibb SA;Professionnel de santé;;1400;
Bristol-Myers Squibb, S.A.U.;Etablissement de santé;;;797
Bristol -Myers Squibb GmbH & Co. KGaA;Etablissement de santé;;;24601
BSN-RADIANTE SAS;Association professionnel de santé;;50846;
BVA;Professionnel de santé;;0;
C2F IMPLANTS;Professionnel de santé;;0;
C2R SAS;Association professionnel de santé;;0;
C2R SAS;Etablissement de santé;;0;6554
C2R SAS;Professionnel de santé;;500;
Callimedia;Professionnel de santé;;6875;18775
CANCERODIGEST;Professionnel de santé;;0;
CARDINAL HEALTH FRANCE 506 SAS;Presse et média;;19000;
Cardinal Health Switzerland 515 GmbH;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;108101;
cardipulse;Professionnel de santé;;0;
CARESTREAM HEALTH FRANCE;Association professionnel de santé;;0;2000
CARL ZEISS MEDITEC AG;Professionnel de santé;;50000;
Carl Zeiss Meditec France;Académies, Fondation, sociétés savantes, organismes de conseils;;0;
Carl Zeiss Meditec France;Etablissement de santé;;0;
CARTE BLANCHE;Professionnel de santé;;360;
Cascadian Therapeutics Inc.;Académies, Fondation, sociétés savantes, organismes de conseils;;6862;6862
Cascadian Therapeutics Inc.;Association professionnel de santé;;;3196
Cascadian Therapeutics Inc.;Etablissement de santé;;;170172
Celgene Corporation;Académies, Fondation, sociétés savantes, organismes de conseils;;5958762;5243938
CELGENE SAS;Association d'étudiants;;1500;1500
CELONOVA BIOSCIENCES OF EUROPE B.V;Académies, Fondation, sociétés savantes, organismes de conseils;;10000;
CELONOVA BIOSCIENCES OF EUROPE B.V;Etablissement de santé;;1402;1402
cemka;Académies, Fondation, sociétés savantes, organismes de conseils;;0;
cemka;Association professionnel de santé;;;1000
cemka;Etablissement de santé;;0;17340
Cepheid Europe SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;0;107974
Cepheid Europe SAS;Association professionnel de santé;;0;79992
Cepheid Europe SAS;Association usager de santé;;0;4700
Cepheid Europe SAS;Etablissement de santé;;0;1850
Cepheid Europe SAS;Presse et média;;0;1260
Cerus Corporation;Etablissement de santé;;1000;
CEVA BIOVAC;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;120000;
Ceva Santé Animale;Association professionnel de santé;;133398;24003
Ceva Santé Animale;Association usager de santé;;2000;1750
Ceva Santé Animale;Groupement professionels agricoles;;139499;
Ceva Santé Animale;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;185828;8816
Ceva Santé Animale;Presse et média;;93115;31904
Ceva Santé Animale;Vétérinaire Personne Morale;;11760;
Cheplapharm France;Académies, Fondation, sociétés savantes, organismes de conseils;;16121;
Cheplapharm France;Presse et média;;9972;
CHIESI FARMACEUTICI S.p.A.;Etablissement de santé;;;33632
CHIESI SAS;Association d'étudiants;;800;800
CHIESI SAS;Editeur de logiciel;;64584;194040
CHIESI SAS;Etablissement de santé;;1200;330
CHIESI SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;3000;3000
CHIESI SAS;Presse et média;;46000;84694
CHRONOLIFE;Professionnel de santé;;1050;
CIS BIO INTERNATIONAL;Association professionnel de santé;;10000;
CLARIPHARM;Presse et média;;8792;
Cleanis SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;49148;14400
Clovis Oncology;Association professionnel de santé;;0;19067
Cochlear France;Association professionnel de santé;;64419;3750
colgate palmolive;Académies, Fondation, sociétés savantes, organismes de conseils;;62180;
colgate palmolive;Association d'étudiants;;23950;
colgate palmolive;Association professionnel de santé;;11460;
colgate palmolive;Etablissement de santé;;1200;
